N,TimeConsumed(μs),MemoryUsed(KB)
1,78,1072
2,3,1072
3,3,1072
4,4,1072
5,4,1072
6,5,1072
7,7,1072
8,8,1072
9,8,1072
10,9,1072
11,9,1072
12,11,1072
13,12,1072
14,12,1072
15,14,1072
16,14,1072
17,15,1072
18,16,1072
19,17,1072
20,18,1072
21,19,1072
22,20,1072
23,21,1072
24,22,1072
25,23,1072
26,23,1072
27,25,1072
28,27,1072
29,27,1072
30,27,1072
31,29,1072
32,29,1072
33,31,1072
34,31,1072
35,32,1072
36,33,1072
37,34,1072
38,35,1072
39,36,1072
40,38,1072
41,38,1072
42,39,1072
43,42,1072
44,42,1072
45,43,1072
46,43,1072
47,44,1072
48,45,1072
49,46,1072
50,48,1072
51,48,1072
52,49,1072
53,50,1072
54,52,1072
55,53,1072
56,53,1072
57,55,1072
58,55,1072
59,56,1072
60,58,1072
61,148,1136
62,73,1136
63,69,1136
64,68,1136
65,67,1136
66,92,1136
67,68,1136
68,85,1136
69,74,1136
70,75,1136
71,73,1136
72,74,1136
73,74,1136
74,78,1136
75,75,1136
76,76,1136
77,80,1136
78,96,1136
79,82,1136
80,85,1136
81,84,1136
82,87,1136
83,87,1136
84,87,1136
85,102,1136
86,89,1136
87,92,1136
88,92,1136
89,93,1136
90,99,1136
91,95,1136
92,97,1136
93,98,1136
94,99,1136
95,103,1136
96,105,1136
97,104,1136
98,114,1136
99,119,1136
100,108,1136
101,108,1136
102,109,1136
103,114,1136
104,112,1136
105,114,1136
106,436,1264
107,138,1296
108,126,1296
109,127,1296
110,123,1296
111,124,1296
112,127,1296
113,124,1296
114,127,1296
115,127,1296
116,128,1296
117,131,1296
118,134,1296
119,130,1296
120,133,1296
121,137,1296
122,136,1296
123,140,1296
124,138,1296
125,138,1296
126,141,1296
127,144,1296
128,143,1296
129,143,1296
130,147,1296
131,148,1296
132,148,1296
133,150,1296
134,152,1296
135,152,1296
136,152,1296
137,156,1296
138,157,1296
139,156,1296
140,222,1296
141,236,1328
142,173,1328
143,143,1328
144,192,1328
145,144,1328
146,144,1328
147,147,1328
148,172,1328
149,148,1328
150,148,1328
151,150,1328
152,148,1328
153,152,1328
154,151,1328
155,152,1328
156,152,1328
157,159,1328
158,157,1328
159,155,1328
160,236,1360
161,158,1360
162,159,1360
163,161,1360
164,159,1360
165,162,1360
166,165,1360
167,161,1360
168,165,1360
169,167,1376
170,167,1376
171,169,1376
172,170,1376
173,170,1376
174,172,1376
175,169,1376
176,172,1376
177,175,1376
178,172,1376
179,176,1376
180,177,1376
181,176,1376
182,180,1376
183,181,1376
184,181,1376
185,183,1376
186,181,1376
187,186,1376
188,187,1376
189,185,1376
190,170,1376
191,165,1376
192,164,1376
193,166,1376
194,168,1376
195,166,1376
196,169,1376
197,171,1376
198,170,1376
199,172,1376
200,176,1376
201,173,1376
202,177,1376
203,181,1376
204,176,1376
205,179,1376
206,181,1376
207,179,1376
208,187,1376
209,182,1376
210,319,1408
211,216,1488
212,193,1488
213,192,1488
214,191,1488
215,193,1488
216,191,1488
217,193,1488
218,190,1488
219,193,1488
220,193,1488
221,192,1488
222,199,1488
223,199,1488
224,210,1488
225,208,1488
226,199,1488
227,201,1488
228,200,1488
229,203,1488
230,204,1488
231,190,1488
232,182,1488
233,207,1488
234,205,1488
235,183,1488
236,186,1488
237,188,1488
238,194,1488
239,191,1488
240,190,1488
241,191,1488
242,204,1488
243,196,1488
244,208,1488
245,229,1488
246,194,1488
247,197,1488
248,201,1488
249,198,1488
250,197,1488
251,218,1488
252,201,1488
253,201,1488
254,206,1488
255,216,1488
256,216,1488
257,203,1488
258,206,1488
259,251,1488
260,223,1504
261,226,1504
262,223,1504
263,249,1504
264,275,1552
265,218,1552
266,218,1552
267,235,1552
268,242,1552
269,225,1552
270,218,1552
271,228,1552
272,233,1552
273,240,1552
274,223,1552
275,225,1552
276,243,1552
277,229,1552
278,209,1552
279,212,1552
280,218,1552
281,231,1552
282,223,1552
283,210,1552
284,249,1552
285,265,1552
286,212,1552
287,214,1552
288,216,1552
289,216,1552
290,227,1552
291,226,1552
292,218,1552
293,220,1552
294,222,1552
295,228,1552
296,224,1552
297,223,1552
298,224,1552
299,226,1552
300,226,1552
301,245,1552
302,241,1552
303,289,1552
304,225,1552
305,214,1552
306,215,1552
307,230,1552
308,219,1552
309,218,1552
310,220,1552
311,224,1552
312,227,1552
313,226,1552
314,219,1552
315,222,1552
316,223,1552
317,231,1552
318,224,1552
319,223,1552
320,232,1552
321,238,1552
322,232,1552
323,232,1552
324,238,1552
325,245,1552
326,232,1552
327,231,1552
328,248,1552
329,242,1552
330,240,1552
331,241,1552
332,249,1552
333,249,1552
334,248,1552
335,240,1552
336,249,1552
337,233,1552
338,229,1552
339,226,1552
340,229,1552
341,229,1552
342,233,1552
343,262,1552
344,248,1552
345,250,1552
346,237,1552
347,232,1552
348,236,1552
349,251,1552
350,250,1552
351,248,1552
352,247,1552
353,239,1552
354,239,1552
355,290,1568
356,257,1568
357,311,1568
358,254,1568
359,244,1568
360,249,1568
361,246,1568
362,244,1568
363,247,1568
364,245,1568
365,251,1568
366,269,1568
367,253,1568
368,260,1568
369,245,1568
370,242,1568
371,241,1568
372,251,1584
373,242,1584
374,257,1584
375,267,1584
376,248,1584
377,266,1584
378,243,1584
379,246,1584
380,256,1584
381,245,1584
382,249,1584
383,260,1584
384,252,1584
385,249,1584
386,258,1584
387,331,1584
388,264,1600
389,270,1600
390,254,1600
391,255,1600
392,270,1600
393,260,1600
394,291,1600
395,284,1600
396,281,1600
397,263,1600
398,263,1600
399,268,1600
400,276,1600
401,283,1600
402,273,1600
403,289,1600
404,270,1600
405,266,1600
406,258,1600
407,259,1600
408,264,1600
409,255,1600
410,256,1600
411,257,1600
412,258,1600
413,261,1600
414,262,1600
415,269,1600
416,266,1600
417,264,1600
418,283,1600
419,271,1616
420,269,1616
421,265,1616
422,267,1616
423,265,1616
424,267,1616
425,268,1616
426,267,1616
427,270,1616
428,273,1616
429,269,1616
430,277,1616
431,278,1616
432,270,1616
433,273,1616
434,274,1616
435,267,1616
436,270,1616
437,269,1616
438,262,1616
439,265,1616
440,266,1616
441,268,1616
442,270,1616
443,272,1616
444,272,1616
445,270,1616
446,275,1616
447,270,1616
448,269,1616
449,298,1616
450,282,1616
451,286,1616
452,274,1616
